,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Houdini Heavenly Houdi Jacket - Men's,Houdini,199.93,50,0.0,0,clothing,jackets,2020-10-20
Picture Abstral Jacket - Men's,Picture,109.93,45,0.0,0,clothing,jackets,2020-10-20
The North Face 1996 Retro Nuptse Vest - Men's,The North Face,249.99,0,0.0,0,clothing,jackets,2020-10-20
Rab Nexus Jacket - Men's,Rab,139.95,0,0.0,0,clothing,jackets,2020-10-20
Patagonia Cotton Quilt Snap-T Pullover - Men's,Patagonia,189.00,0,0.0,0,clothing,jackets,2020-10-20
Patagonia Torrentshell 3 Layer Pullover - Men's,Patagonia,159.00,0,0.0,0,clothing,jackets,2020-10-20
Picture Goods Jacket - Men's,Picture,499.95,0,0.0,0,clothing,jackets,2020-10-20
Houdini Daybreak Jacket - Men's,Houdini,149.93,50,0.0,0,clothing,jackets,2020-10-20
Smartwool Merino Sport Ultra Light Hoodie - Men's,Smartwool,149.95,0,3.0,1,clothing,jackets,2020-10-20
Patagonia Light Storm Jacket - Men's,Patagonia,220.50,30,0.0,0,clothing,jackets,2020-10-20
Vuori Ease Performance Half Zip Top - Men's,Vuori,93.95,0,0.0,0,clothing,jackets,2020-10-20
The North Face Thermoball Eco Jacket - Men's,The North Face,249.99,0,0.0,0,clothing,jackets,2020-10-20
Fjallraven Greenland Winter Jacket - Men's,Fjallraven,399.95,0,3.0,2,clothing,jackets,2020-10-20
Mustang Survival Callan Jacket - Men's,Mustang Survival,379.99,0,0.0,0,clothing,jackets,2020-10-20
MEC Stradale Jacket - Men's,MEC,89.93,54,3.9,16,clothing,jackets,2020-10-20
Baro Drywear The Quarry Jacket - Men's,Baro Drywear,223.95,0,0.0,0,clothing,jackets,2020-10-20
Patagonia Insulated Fjord Flannel Jacket - Men's,Patagonia,209.00,30,0.0,0,clothing,jackets,2020-10-20
The North Face Thermoball Eco Vest - Men's,The North Face,199.99,0,0.0,0,clothing,jackets,2020-10-20
The North Face Fort Point Flannel Shirt - Men's,The North Face,159.99,0,0.0,0,clothing,jackets,2020-10-20
Mammut Aconcagua Midlayer Jacket - Men's,Mammut,153.27,30,0.0,0,clothing,jackets,2020-10-20
Picture Takashima Jacket - Men's,Picture,140.77,36,0.0,0,clothing,jackets,2020-10-20
Houdini Daybreak Pullover - Men's,Houdini,129.93,50,0.0,0,clothing,jackets,2020-10-20
Patagonia Lightweight All-Wear Hemp Coaches Jacket - Men's,Patagonia,111.30,30,0.0,0,clothing,jackets,2020-10-20
Arc'teryx Sawyer Gore-Tex Coat - Men's,Arc'teryx,599.95,0,3.8,20,clothing,jackets,2020-10-20
Patagonia Insulated Snowshot Jacket - Men's,Patagonia,409.00,0,0.0,0,clothing,jackets,2020-10-20
The North Face Printed Cyclone Hoodie - Men's,The North Face,99.99,0,0.0,0,clothing,jackets,2020-10-20
Rab Kinetic Plus Jacket - Men's,Rab,299.95,0,0.0,0,clothing,jackets,2020-10-20
Patagonia Galvanized Jacket - Men's,Patagonia,435.00,0,0.0,0,clothing,jackets,2020-10-20
The North Face A-Cad Jacket - Men's,The North Face,779.99,0,0.0,0,clothing,jackets,2020-10-20
The North Face Unlimited Jacket - Men's,The North Face,399.99,0,0.0,0,clothing,jackets,2020-10-20
Arc'teryx Rush Gore-Tex Jacket - Men's,Arc'teryx,559.97,30,0.0,0,clothing,jackets,2020-10-20
Vuori Daybreak Windbreaker - Men's,Vuori,134.95,0,0.0,0,clothing,jackets,2020-10-20
The North Face Thermoball Eco Hoodie - Men's,The North Face,279.99,0,0.0,0,clothing,jackets,2020-10-20
Fjallraven Abisko Midsummer Jacket - Men's,Fjallraven,259.95,0,0.0,0,clothing,jackets,2020-10-20
Rab Cirrus Flex Vest - Men's,Rab,174.95,0,0.0,0,clothing,jackets,2020-10-20
Rab Meridian Jacket - Men's,Rab,379.95,0,0.0,0,clothing,jackets,2020-10-20
Rab Borealis Jacket - Men's,Rab,144.95,0,0.0,0,clothing,jackets,2020-10-20
The North Face Mountain Pullover Sweatshirt - Men's,The North Face,169.99,0,0.0,0,clothing,jackets,2020-10-20
The North Face New Outerboroughs Jacket - Men's,The North Face,579.99,0,0.0,0,clothing,jackets,2020-10-20
Fjallraven Expedition Down Lite Hoodie - Men's,Fjallraven,649.95,0,0.0,0,clothing,jackets,2020-10-20
Picture Track Jacket - Men's,Picture,424.95,0,0.0,0,clothing,jackets,2020-10-20
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
MEC Cliffton Cargo Pants - Men's,MEC,74.95,0,5.0,1,clothing,bottoms,2020-10-20
MEC Hydrofoil Stretch Pants - Men's,MEC,129.95,0,0.0,0,clothing,bottoms,2020-10-20
MEC Aquanator Rain Pants - Men's,MEC,79.95,50,4.2,4,clothing,bottoms,2020-10-20
MEC Drencher Pants - Men's,MEC,69.95,0,3.7,56,clothing,bottoms,2020-10-20
MEC Aquadash Packable Waterproof Cycling Rain Pants - Men's,MEC,119.95,0,4.0,4,clothing,bottoms,2020-10-20
MEC Trax Nordic Soft Shell Pants - Men's,MEC,134.95,0,5.0,2,clothing,bottoms,2020-10-20
MEC Flash Cloud Gore-Tex Pants - Men's,MEC,239.95,0,4.3,3,clothing,bottoms,2020-10-20
"Prana Brion Pants 32"" Inseam - Men's",Prana,71.97,39,4.5,8,clothing,bottoms,2020-10-20
The North Face Paramount Trail Convertible Pants - Men's,The North Face,52.93,43,0.0,0,clothing,bottoms,2020-10-20
MEC Alpine Ally Pants - Men's,MEC,189.95,0,4.0,9,clothing,bottoms,2020-10-20
MEC Mochilero Stretch Pants - Men's,MEC,79.95,0,3.8,9,clothing,bottoms,2020-10-20
MEC Borderland Pants - Men's,MEC,99.95,50,4.8,4,clothing,bottoms,2020-10-20
MEC Trek Pants - Men's,MEC,69.95,0,3.3,19,clothing,bottoms,2020-10-20
Fjallraven Vidda Pro Ventilated Trousers - Men's,Fjallraven,199.95,0,4.0,1,clothing,bottoms,2020-10-20
Prana Moaby Pants - Men's,Prana,67.97,20,4.0,1,clothing,bottoms,2020-10-20
Kuhl Rebel Pants - Men's,Kuhl,47.93,50,3.8,4,clothing,bottoms,2020-10-20
MEC Tobo Softshell Pants - Men's,MEC,124.95,0,4.6,5,clothing,bottoms,2020-10-20
MEC Mochilero Stretch Convertible Pants - Men's,MEC,89.95,0,3.9,9,clothing,bottoms,2020-10-20
Tentree Atlas Sweat Pants - Men's,Tentree,77.95,0,4.0,2,clothing,bottoms,2020-10-20
MEC Mochilero Cargo Pants - Men's,MEC,89.95,0,5.0,1,clothing,bottoms,2020-10-20
MEC Rural Camp Pants - Men's,MEC,79.95,0,4.5,4,clothing,bottoms,2020-10-20
Patagonia Quandary Pants - Men's,Patagonia,99.00,0,4.5,4,clothing,bottoms,2020-10-20
Fjallraven Keb Trousers - Men's,Fjallraven,249.95,20,4.2,5,clothing,bottoms,2020-10-20
MEC Flex Nordic Hybrid Softshell Pants - Men's,MEC,114.95,0,3.8,4,clothing,bottoms,2020-10-20
Brooks Spartan Pants - Men's,Brooks,74.95,0,4.1,10,clothing,bottoms,2020-10-20
MEC Mica 2 Pants - Men's,MEC,74.95,0,3.1,33,clothing,bottoms,2020-10-20
"Prana Bridger Jeans 32"" Inseam - Men's",Prana,87.97,20,4.2,4,clothing,bottoms,2020-10-20
MEC Transfer Ease Pants - Men's,MEC,69.95,0,4.0,4,clothing,bottoms,2020-10-20
Fjallraven Sormland Tapered Trousers - Men's,Fjallraven,174.95,0,4.5,2,clothing,bottoms,2020-10-20
Patagonia Terrebonne Joggers - Men's,Patagonia,99.00,0,4.0,1,clothing,bottoms,2020-10-20
Patagonia Lightweight Synchilla Snap-T Pants - Men's,Patagonia,125.00,0,4.0,1,clothing,bottoms,2020-10-20
Fjallraven High Coast Trousers Zip Off - Men's,Fjallraven,104.94,40,0.0,0,clothing,bottoms,2020-10-20
MEC Mica 2 Straight Leg Pants - Men's,MEC,79.95,0,4.7,3,clothing,bottoms,2020-10-20
MEC Synergy Gore-Tex Pants - Men's,MEC,169.93,48,3.5,13,clothing,bottoms,2020-10-20
Showers Pass Refuge Pants - Men's,Showers Pass,319.95,0,4.6,57,clothing,bottoms,2020-10-20
"Prana Vaha Pants (32"" Inseam) - Men's",Prana,71.97,20,5.0,1,clothing,bottoms,2020-10-20
MEC Transfer Reflect Pants - Men's,MEC,79.95,0,4.6,7,clothing,bottoms,2020-10-20
"Prana Ulterior Pant 32"" Inseam - Men's",Prana,79.97,19,0.0,0,clothing,bottoms,2020-10-20
MEC Cliffton Pants - Men's,MEC,69.95,0,3.7,3,clothing,bottoms,2020-10-20
MEC Mochilero Stretch Lined Pants - Men's,MEC,119.95,0,0.0,0,clothing,bottoms,2020-10-20
The North Face Sprag 5-Pocket Pants - Men's,The North Face,71.97,20,0.0,0,clothing,bottoms,2020-10-20
"Prana Brion Pants 30"" Inseam - Men's",Prana,71.97,39,5.0,3,clothing,bottoms,2020-10-20
MEC Cold Rush Thermal Run Tights - Men's,MEC,84.95,0,5.0,1,clothing,bottoms,2020-10-20
Prana Ulterior Slim Pants - Men's,Prana,87.97,20,0.0,0,clothing,bottoms,2020-10-20
Vuori Ponto Performance Pants - Men's,Vuori,104.95,0,5.0,1,clothing,bottoms,2020-10-20
MEC In-Flight Pants - Men's,MEC,79.95,0,4.3,3,clothing,bottoms,2020-10-20
DU/ER Adventure Pants - Men's,DU/ER,147.95,0,4.7,10,clothing,bottoms,2020-10-20
The North Face Freedom Insulated Pants - Men's,The North Face,199.99,0,0.0,0,clothing,bottoms,2020-10-20
Salomon Agile Warm Tights - Men's,Salomon,119.95,0,4.7,3,clothing,bottoms,2020-10-20
Patagonia Straight Fit Cords - Men's,Patagonia,109.00,0,0.0,0,clothing,bottoms,2020-10-20
Arc'teryx Russet Pants - Men's,Arc'teryx,159.95,0,4.3,7,clothing,bottoms,2020-10-20
MEC RnB Shorts - Men's,MEC,35.98,52,5.0,2,clothing,bottoms,2020-10-20
DU/ER Performance Denim Slim - Men's,DU/ER,138.95,0,0.0,0,clothing,bottoms,2020-10-20
Fjallraven Abisko Midsummer Trousers - Men's,Fjallraven,179.95,0,3.5,2,clothing,bottoms,2020-10-20
Patagonia Skyline Traveler Pants - Men's,Patagonia,149.00,0,0.0,0,clothing,bottoms,2020-10-20
Showers Pass Transit Pants - Men's,Showers Pass,149.95,0,4.5,60,clothing,bottoms,2020-10-20
MEC Mochilero Shorts - Men's,MEC,64.95,0,4.6,5,clothing,bottoms,2020-10-20
Arc'teryx Sabre AR Gore-Tex Pants - Men's,Arc'teryx,599.95,30,4.6,9,clothing,bottoms,2020-10-20
Prana Zion Chino Pants - Men's,Prana,79.97,20,0.0,0,clothing,bottoms,2020-10-20
Arc'teryx Aptin Shorts - Men's,Arc'teryx,99.95,50,4.6,24,clothing,bottoms,2020-10-20
DU/ER No Sweat Pants Slim - Men's,DU/ER,138.95,0,3.0,2,clothing,bottoms,2020-10-20
MEC RnB Pants - Men's,MEC,79.95,0,3.0,2,clothing,bottoms,2020-10-20
Patagonia Performance Twill Jeans - Men's,Patagonia,125.00,0,2.4,5,clothing,bottoms,2020-10-20
"DU/ER Performance Denim Slim Pants (32"" Inseam) - Men's",DU/ER,139.95,0,5.0,9,clothing,bottoms,2020-10-20
Arc'teryx Gamma LT Pants - Men's,Arc'teryx,199.95,20,4.5,108,clothing,bottoms,2020-10-20
Kuhl Radikl Pants - Men's,Kuhl,99.95,0,0.0,0,clothing,bottoms,2020-10-20
MEC Mochilero Stretch Lined Pants - Men's,MEC,60.93,49,4.0,6,clothing,bottoms,2020-10-20
MEC Below Celsius Insulated Pants - Men's,MEC,189.95,0,2.7,9,clothing,bottoms,2020-10-20
Black Diamond Notion Pants - Men's,Black Diamond,94.95,0,4.4,27,clothing,bottoms,2020-10-20
Prana Super Mojo Shorts II - Men's,Prana,55.97,20,4.0,5,clothing,bottoms,2020-10-20
"Prana Bridger Jeans 30"" Inseam - Men's",Prana,87.97,20,4.0,2,clothing,bottoms,2020-10-20
Patagonia Quandary Convertible Pants - Men's,Patagonia,109.00,0,4.7,3,clothing,bottoms,2020-10-20
The North Face Paramount Active Convertible Pants - Men's,The North Face,79.97,20,0.0,0,clothing,bottoms,2020-10-20
Levis 541 Athletic Taper Pants - Men's,Levis,89.95,0,0.0,0,clothing,bottoms,2020-10-20
Prana Rockland Pants - Men's,Prana,57.94,50,5.0,4,clothing,bottoms,2020-10-20
Patagonia Venga Rock Pants - Men's,Patagonia,76.30,30,3.0,3,clothing,bottoms,2020-10-20
Race Face Agent Winter Pants - Men's,Race Face,189.95,0,1.0,1,clothing,bottoms,2020-10-20
Vuori Transit Joggers - Men's,Vuori,109.95,0,0.0,0,clothing,bottoms,2020-10-20
Black Diamond Notion Shorts - Men's,Black Diamond,84.95,41,4.0,4,clothing,bottoms,2020-10-20
Levis 502 Regular Taper Pants - Men's,Levis,99.95,0,5.0,1,clothing,bottoms,2020-10-20
MEC Mica 2 Shorts - Men's,MEC,69.95,51,3.6,8,clothing,bottoms,2020-10-20
Vuori Ponto Shorts - Men's,Vuori,94.95,0,0.0,0,clothing,bottoms,2020-10-20
The North Face Paramount Active Pants - Men's,The North Face,39.93,56,4.1,7,clothing,bottoms,2020-10-20
"Prana Ulterior Shorts 9"" Inseam - Men's",Prana,63.97,44,0.0,0,clothing,bottoms,2020-10-20
MEC Hydrofoil Stretch Pants - Men's,MEC,64.95,48,3.4,7,clothing,bottoms,2020-10-20
Patagonia Terrebonne Shorts - Men's,Patagonia,55.30,30,0.0,0,clothing,bottoms,2020-10-20
B Daehlie Ridge Full Zip Pants - Men's,B Daehlie,119.95,0,5.0,1,clothing,bottoms,2020-10-20
Fjallraven High Coast Lite Trousers - Men's,Fjallraven,149.95,0,3.0,2,clothing,bottoms,2020-10-20
MEC Mochilero Stretch Pants - Men's,MEC,36.93,54,3.9,31,clothing,bottoms,2020-10-20
"Prana Furrow Shorts 11"" Inseam - Men's",Prana,59.97,20,5.0,3,clothing,bottoms,2020-10-20
Black Diamond Circuit Pants - Men's,Black Diamond,56.93,52,4.8,6,clothing,bottoms,2020-10-20
MEC Mochilero Stretch Convertible Pants - Men's,MEC,43.93,51,3.1,20,clothing,bottoms,2020-10-20
"DU/ER Performance Denim Slim Pants (30"" Inseam) - Men's",DU/ER,138.95,0,3.3,7,clothing,bottoms,2020-10-20
The North Face Active Trail Hybrid Joggers - Men's,The North Face,129.99,0,0.0,0,clothing,bottoms,2020-10-20
"Prana Brion Shorts 9"" Inseam - Men's",Prana,59.97,20,5.0,6,clothing,bottoms,2020-10-20
Prana Vaha Shorts - Men's,Prana,59.97,20,5.0,1,clothing,bottoms,2020-10-20
Levis 511 Slim Fit Pants - Men's,Levis,118.00,0,0.0,0,clothing,bottoms,2020-10-20
Vuori Sunday Performance Joggers - Men's,Vuori,109.95,0,0.0,0,clothing,bottoms,2020-10-20
Vuori Kore Shorts - Men's,Vuori,84.95,0,5.0,1,clothing,bottoms,2020-10-20
MEC Rad Pants - Men's,MEC,89.95,0,3.9,40,clothing,bottoms,2020-10-20
Vuori Stockton Shorts - Men's,Vuori,89.95,0,5.0,1,clothing,bottoms,2020-10-20
Fjallraven Abisko Shorts - Men's,Fjallraven,139.95,0,5.0,2,clothing,bottoms,2020-10-20
MEC Sandbagger Pants - Men's,MEC,61.58,55,3.9,55,clothing,bottoms,2020-10-20
Fjallraven Abisko Lite Shorts - Men's,Fjallraven,134.95,0,0.0,0,clothing,bottoms,2020-10-20
MEC Gorp Hike Shorts - Men's,MEC,44.95,0,4.5,4,clothing,bottoms,2020-10-20
"DU/ER Adventure Pants (30"" Inseam) - Men's",DU/ER,69.93,53,3.0,1,clothing,bottoms,2020-10-20
MEC Transfer Reflect Shorts - Men's,MEC,64.95,0,5.0,3,clothing,bottoms,2020-10-20
"Patagonia Baggies 7"" Shorts - Men's",Patagonia,69.00,0,3.6,5,clothing,bottoms,2020-10-20
United By Blue Standard Chino - Men's,United,37.93,56,0.0,0,clothing,bottoms,2020-10-20
Houdini Crux Shorts - Men's,Houdini,59.93,54,0.0,0,clothing,bottoms,2020-10-20
"Smartwool Merino Sport Lined 8"" Shorts - Men's",Smartwool,84.95,0,0.0,0,clothing,bottoms,2020-10-20
MEC Trek Pants - Men's,MEC,69.95,0,0.0,0,clothing,bottoms,2020-10-20
Salomon Nova Pants - Men's,Salomon,159.95,0,4.0,2,clothing,bottoms,2020-10-20
Vuori Fleet Pants - Men's,Vuori,139.95,0,0.0,0,clothing,bottoms,2020-10-20
