,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Garmin Fenix 5X Sapphire - Unisex,Garmin,589.99,0,4.8,9,camping-and-hiking,2020-10-17
Salomon Outline Mid Gore-Tex Light Trail Shoes - Women's,Salomon,179.95,0,4.5,20,camping-and-hiking,2020-10-17
Scarpa Kailash Trek Gore-Tex Hiking Boots - Women's,Scarpa,299.95,0,4.4,9,camping-and-hiking,2020-10-17
MEC Terrena High Rise Cargo Pants - Women's,MEC,89.95,30,4.5,18,camping-and-hiking,2020-10-17
Salomon X Ultra Mid 3 Gore-Tex Light Trail Shoes - Women's,Salomon,199.95,0,3.9,64,camping-and-hiking,2020-10-17
Garmin Instinct Solar - Unisex,Garmin,559.95,0,4.6,72,camping-and-hiking,2020-10-17
One Step Hand Sanitizer 60ml,One Step,2.95,0,2.7,3,camping-and-hiking,2020-10-17
Patagonia Skyline Traveller Pants - Women's,Patagonia,76.3,36,3.8,4,camping-and-hiking,2020-10-17
Vasque St. Elias FG Gore-Tex Backpacking Boots - Men's,Vasque,239.95,0,4.6,18,camping-and-hiking,2020-10-17
MEC Boundary Light Down Vest - Men's,MEC,149.95,0,4.7,3,camping-and-hiking,2020-10-17
MEC Mochilero Stretch Convertible Pants - Men's,MEC,89.95,0,3.9,9,camping-and-hiking,2020-10-17
Keen Terradora II Mid Waterproof Light Trail Shoes - Women's,Keen,189.95,0,5,1,camping-and-hiking,2020-10-17
Salomon OUTward Gore-Tex Hiking Boots - Women's,Salomon,229.95,0,5,3,camping-and-hiking,2020-10-17
Merrell Moab 2 Waterproof Light Trail Shoes - Men's,Merrell,159.95,0,2.7,27,camping-and-hiking,2020-10-17
Kahtoola NANOspikes Footwear Traction - Unisex,Kahtoola,59.95,0,4.6,57,camping-and-hiking,2020-10-17
Salomon Quest 4D 3 Gore-Tex Hiking Boots - Men's,Salomon,289.95,0,4.3,173,camping-and-hiking,2020-10-17
MEC Alpine Ally Pants - Women's,MEC,189.95,0,3.4,5,camping-and-hiking,2020-10-17
Black Diamond Trail Trek Poles - Women's,Black Diamond,124.95,0,5,7,camping-and-hiking,2020-10-17
MEC Peak Comfort AirGrid Lite Long Sleeve Base Layer - Women's,MEC,34.95,0,4,1,camping-and-hiking,2020-10-17
Patagonia Better Sweater Jacket - Women's,Patagonia,169,0,4.7,3,camping-and-hiking,2020-10-17
Black Diamond Trail Trek Poles - Unisex,Black Diamond,124.95,0,4.9,9,camping-and-hiking,2020-10-17
Keen Targhee II Mid Waterproof Light Trail Shoes - Women's,Keen,189.95,0,3.7,3,camping-and-hiking,2020-10-17
