,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
MEC Cliffton Pants - Men's,MEC,69.95,0,3.7,3,clothing,2020-10-17
MEC Transfer Ease Pants - Men's,MEC,69.95,0,4,4,clothing,2020-10-17
Patagonia Capilene Cool Trail Long Sleeve Shirt - Men's,Patagonia,59,0,5,1,clothing,2020-10-17
Fjallraven Vardag Sweater - Men's,Fjallraven,94.95,0,0,0,clothing,2020-10-17
MEC Rockwall Midlayer - Men's,MEC,99.95,0,4.4,11,clothing,2020-10-17
MEC T2 Long Johns - Men's,MEC,34.95,0,3.7,6,clothing,2020-10-17
MEC All Day Active Long Sleeve Henley - Men's,MEC,39.95,0,4.2,4,clothing,2020-10-17
MEC Prospect Fleece Pullover - Men's,MEC,94.95,0,5,1,clothing,2020-10-17
MEC Flex Nordic Hybrid Softshell Jacket - Men's,MEC,134.95,0,5,2,clothing,2020-10-17
Showers Pass Refuge Pants - Men's,Showers Pass,319.95,0,4.6,57,clothing,2020-10-17
Fjallraven Keb Trousers - Men's,Fjallraven,249.95,20,4.2,5,clothing,2020-10-17
Fjallraven Sormland Tapered Trousers - Men's,Fjallraven,174.95,0,4.5,2,clothing,2020-10-17
MEC In-Flight Crew Neck - Men's,MEC,74.95,30,4,2,clothing,2020-10-17
The North Face Mountain Sweatshirt Hoodie 3.0 - Men's,The North Face,95.93,52,0,0,clothing,2020-10-17
"Prana Bridger Jeans 32"" Inseam - Men's",Prana,87.97,20,4.2,4,clothing,2020-10-17
MEC Chilcotins Long Sleeve Utility Shirt - Men's,MEC,49.93,44,4.5,4,clothing,2020-10-17
MEC Flex Nordic Hybrid Softshell Pants - Men's,MEC,114.95,0,3.8,4,clothing,2020-10-17
Fjallraven Lada Sweater - Men's,Fjallraven,189.95,0,5,1,clothing,2020-10-17
Fjallraven Ovik Flannel Long Sleeve Shirt - Men's,Fjallraven,94.95,0,5,1,clothing,2020-10-17
Black Diamond Mercury Mitts - Men's,Black Diamond,124.95,0,4,27,clothing,2020-10-17
