,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Humangear GoTubb 14ml (3 Pack),Humangear,10.95,0,4.1,1875,kids,2020-10-17
MEC Brume Reversible Jacket - Youths,MEC,89.95,0,4.7,3,kids,2020-10-17
MEC Cub Daypack - Children,MEC,39.95,30,4.1,12,kids,2020-10-17
Keen Terradora ll Mid Waterproof Boots - Girls' - Children to Youths,Keen,94.95,0,0,0,kids,2020-10-17
The North Face Glacier 1/4 Snap Pullover - Youths,The North Face,35.94,40,0,0,kids,2020-10-17
Salomon XA Pro 3D Mid CSWP J Shoes - Children to Youths,Salomon,119.95,0,3,2,kids,2020-10-17
Kombi Velvet Fleece Set - Youths,Kombi,69.95,0,0,0,kids,2020-10-17
Wigwam Merino Comfort Hiker Socks - Children to Youths,Wigwam,14.95,0,4.5,2,kids,2020-10-17
Gordini Ultra Dri-Max Gauntlet IV Gloves Junior - Children to Youths,Gordini,27.95,0,3.1,18,kids,2020-10-17
MEC Midweight Underwear Crew - Children,MEC,27.95,0,4.2,20,kids,2020-10-17
Sorel Flurry TP Winter Boots - Children to Youths,Sorel,75,0,4.7,66,kids,2020-10-17
Bridgedale Merino Ski Socks 2 Pack - Children to Youths,Bridgedale,28.95,0,3.6,5,kids,2020-10-17
Gregory Icarus 40 Pack - Youths,Gregory,119.96,25,4.7,3,kids,2020-10-17
Stasher Reusable Snack Bag,Stasher,11.95,0,4.9,507,kids,2020-10-17
Columbia Powderbug Forty Boots - Youths,Columbia,79.95,0,3.9,28,kids,2020-10-17
MEC Slopetime Gloves - Children to Youths,MEC,15.95,0,0,0,kids,2020-10-17
Reima Beringer Down Jacket - Children to Youths,Reima,179.95,0,0,0,kids,2020-10-17
MEC Isos Pack - Unisex,MEC,84.95,0,3.6,10,kids,2020-10-17
Burley Ski Kit - Children,Burley,259.95,0,4,4,kids,2020-10-17
Baffin Ice Castle Winter Boots - Children,Baffin,54.95,0,4.2,4,kids,2020-10-17
Kombi Candy Man Socks - Children to Youths,Kombi,14.95,0,0,0,kids,2020-10-17
Outdoor Research Ninjaclava - Children to Youths,Outdoor Research,29.95,0,4,8,kids,2020-10-17
Zamberlan Quantum GTX Boots - Children to Youths,Zamberlan,129.95,0,4.6,14,kids,2020-10-17
Kamik Snowbug 4 Boots - Infants,Kamik,54.95,0,3.6,5,kids,2020-10-17
MEC Heritage Rain Hat - Children,MEC,16.94,41,0,0,kids,2020-10-17
