,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
MEC Active Essentials Tech Merino Long Sleeve Top - Women's,MEC,79.95,0,0,0,clothing,2020-10-17
The North Face Thermoball Eco Jacket - Women's,The North Face,249.99,0,5,1,clothing,2020-10-17
MEC Rockwall Half-Zip Midlayer - Women's,MEC,89.95,0,4.7,7,clothing,2020-10-17
Indygena Kisa Rain Jacket - Women's,Indygena,134.93,50,3.5,2,clothing,2020-10-17
The North Face Dryzzle Futurelight Jacket - Women's,The North Face,279.99,0,5,1,clothing,2020-10-17
Patagonia Nano Puff Vest - Women's,Patagonia,189,0,0,0,clothing,2020-10-17
MPG Prosper High Waisted Leggings - Women's,MPG,54.95,0,4.5,2,clothing,2020-10-17
The North Face Respirator Midlayer Top - Women's,The North Face,95.19,44,0,0,clothing,2020-10-17
The North Face Thermoball Eco Parka 2 - Women's,The North Face,299.99,50,5,1,clothing,2020-10-17
Brooks Dare Crossback Bra - Women's,Brooks,64.95,0,3.9,175,clothing,2020-10-17
MEC Transference Mid Reversible Down Jacket - Women's,MEC,63.2,72,4.4,7,clothing,2020-10-17
Coal Mel Toque - Women's,Coal,31.95,0,0,0,clothing,2020-10-17
Smartwool Hike Light Under the Stars Print Crew Socks - Women's,Smartwool,26.95,0,0,0,clothing,2020-10-17
Darn Tough Good Witch Crew Light Socks - Women's,Darn Tough,26.95,0,3.7,15,clothing,2020-10-17
Tentree Colwood Jogger - Women's,Tentree,79.95,0,3.8,5,clothing,2020-10-17
Brooks Dare Strappy Bra - Women's,Brooks,59.95,0,4.3,108,clothing,2020-10-17
MEC Terrena Stretch Capris - Women's,MEC,36.93,51,4,4,clothing,2020-10-17
MEC Trax Nordic Soft Shell Vest - Women's,MEC,99.95,44,3.7,3,clothing,2020-10-17
Arc'teryx Tolu Long Sleeve Top - Women's,Arc'teryx,69.95,0,4.4,12,clothing,2020-10-17
Arc'teryx Norvan SL Insulated Gore-Tex Hoody - Women's,Arc'teryx,449.95,0,5,3,clothing,2020-10-17
MEC 6AM Hoodie - Women's,MEC,85,0,5,4,clothing,2020-10-17
Patagonia Houdini Air Jacket - Women's,Patagonia,209,0,0,0,clothing,2020-10-17
Darn Tough Light Hiker Light Cushion Micro Crew Socks - Women's,Darn Tough,27.95,0,5,1,clothing,2020-10-17
Kari Traa Eva Warm Tights - Women's,Kari Traa,46.93,51,4.7,7,clothing,2020-10-17
