,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Happy Yak Moroccan Couscous and Lentils,Happy Yak,11.95,0,3.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Noble Jerky - Chipotle,Noble,6.00,0,4.0,10,camping-and-hiking,kitchen-and-hydration,2020-10-20
Cocoa Camino Intensely Dark Dark Chocolate Bar 88%,Cocoa Camino,4.00,0,3.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Backpacker's Pantry Mexican Cowboy Beans & Rice,Backpacker's Pantry,8.00,0,3.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Jet Blackberry Gel,GU,2.25,0,3.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Acai Pomegranate Organic Energy Gel,Honey Stinger,1.95,0,4.2,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Mandarin Orange Gel,GU,2.25,0,2.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Cocoa Camino Mint Dark Chocolate Bar 67%,Cocoa Camino,4.50,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Honeycomb Dark Chocolate Bar,Chuao,6.00,0,4.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Polar Bottle Breakaway Insulated 590ml Water Bottle,Polar Bottle,18.95,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Grayl Geopress Water Purifier,Grayl,119.95,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Strawberry Kiwi Energy Gel,Honey Stinger,1.95,0,3.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport Electrolyte Replacement Tablets Tropical,Nuun,8.95,0,4.0,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Klean Kanteen Kid Vacuum Classic Sport Cap,Klean Kanteen,34.95,0,4.6,110,camping-and-hiking,kitchen-and-hydration,2020-10-20
Probar Whole Berry Blast (Meal),Probar,3.70,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
